file,label,statement,subject,speaker,job_title,state_info,party_affiliation,barely_true,false,half_true,mostly_true,pants_fire,context,Cohere-Command-R-Plus
2940.json,False,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","health-care,pop-culture",walking-dead,,,none,0.0,0.0,0.0,0.0,1.0,the TV show's season finale,conspiracy
5210.json,False,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","energy,stimulus",national-republican-congressional-committee,,,republican,18.0,9.0,8.0,5.0,8.0,a news release,"conspiracy, discredit"
7993.json,False,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,"abortion,pundits,women",rachel-maddow,MSNBC host,,none,6.0,6.0,4.0,6.0,1.0,"On “The Rachel Maddow Show,” broadcast on MSNBC","conspiracy, discredit"
7990.json,False,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","health-care,immigration",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a long-running chain email,"Conspiracy, Discredit"
12848.json,False,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"iraq,military",katrina-pierson,,,republican,0.0,0.0,0.0,0.0,1.0,an interview on CNN.,conspiracy
10829.json,False,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"corrections-and-updates,crime,criminal-justice,sexuality",garnet-coleman,"president, ceo of Apartments for America, Inc.",Texas,democrat,1.0,0.0,1.0,0.0,1.0,a committee hearing,conspiracy
4170.json,False,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",transportation,federal-transit-administration,,,none,0.0,0.0,0.0,0.0,1.0,a press release,conspiracy
4357.json,False,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,candidates-biography,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,web pages,"conspiracy, discredit"
162.json,False,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",job-accomplishments,joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,Philadelphia,"conspiracy, discredit"
6777.json,False,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,"islam,message-machine-2012",government-not-god-pac,,,none,1.0,2.0,0.0,0.0,3.0,a newspaper ad,"conspiracy,discredit"
11486.json,False,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","foreign-policy,immigration,terrorism",sean-hannity,Radio/TV host,,none,3.0,5.0,3.0,2.0,1.0,"a segment of Fox News' ""Hannity""","Conspiracy, Discredit"
3864.json,False,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,environment,jeff-kruse,state senator,Oregon,republican,0.0,0.0,1.0,0.0,2.0,on the Oregon Senate floor,conspiracy
1441.json,False,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","health-care,pundits",nancy-pfotenhauer,political strategist,,republican,0.0,0.0,0.0,0.0,1.0,an interview on CNN,"conspiracy, discredit"
3333.json,False,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.","energy,environment,military",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail,"conspiracy, trolling"
5312.json,False,David Dewhurst has a record of promoting an income tax.,taxes,ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a handout.,conspiracy
11690.json,False,Says Marco Rubio is the one for an open border.,immigration,rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7.0,8.0,10.0,12.0,3.0,in the CNN debate in Las Vegas,"conspiracy, discredit"
2411.json,False,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,immigration,allen-west,"U.S. representative, Florida District 22",Florida,republican,6.0,9.0,3.0,1.0,4.0,a campaign website,"conspiracy, discredit"
11668.json,False,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,"corrections-and-updates,obama-birth-certificate",facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,multiple posts,"Conspiracy, Discredit"
5043.json,False,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,"animals,congress,history,polls",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a message via the Internet,"Emotion, trolling."
10580.json,False,Texas this fiscal year will have more money in reserve than the other 49 states combined.,"state-budget,state-finances,states",dan-patrick,Lieutenant governor-elect,Texas,republican,4.0,4.0,3.0,4.0,4.0,an interview on KLBJ AM in Austin,conspiracy
1659.json,False,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,"health-care,states",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a column,conspiracy
4347.json,False,We spend less on defense today as % of GDP than at any time since Pearl Harbor.,federal-budget,newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16.0,15.0,20.0,10.0,11.0,a Twitter post,conspiracy
3730.json,False,The people of Rhode Island dont want same-sex marriage.,"civil-rights,gays-and-lesbians,marriage,polls",christopher-plante,"executive director, National Organization for Marriage - Rhode Island",Rhode Island,newsmaker,0.0,0.0,0.0,1.0,1.0,a television interview,conspiracy
11555.json,False,Says that Starbucks took Christmas off of their brand new cups.,religion,joshua-feuerstein,,,republican,0.0,0.0,0.0,0.0,1.0,a video,conspiracy
7887.json,False,Says two-thirds of groups targeted for IRS scrutiny were not conservative.,taxes,progress-texas,,Texas,none,3.0,0.0,1.0,0.0,2.0,a tweet,"conspiracy, discredit"
11407.json,False,"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.","foreign-policy,history",ben-carson,,,republican,7.0,12.0,3.0,2.0,4.0,an interview with CNN's Wolf Blitzer,Conspiracy
5110.json,False,"Shes voted for 60 tax increases, hurting the middle class and small businesses.",taxes,rob-cornilles,consultant,Oregon,republican,1.0,1.0,3.0,1.0,1.0,,"Emotion, Discredit"
10548.json,False,"Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.","candidates-biography,diversity,campaign-advertising",facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,a meme supposedly quoting Sheila Jackson Lee,"conspiracy, trolling"
9969.json,False,Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.,"crime,ethics",wendy-davis,state senator,Texas,democrat,5.0,1.0,8.0,12.0,1.0,speaking to reporters,"conspiracy, discredit"
1340.json,False,"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""","health-care,privacy",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a widely circulated e-mail,conspiracy
3393.json,False,Roughly 25% of RI has a criminal record,"crime,criminal-justice,jobs,labor,legal-issues",direct-action-rights-equality,,Rhode Island,organization,0.0,0.0,0.0,0.0,1.0,an online petition,conspiracy
88.json,False,I'm probably one of the four or five best-known Americans in the world.,candidates-biography,rudy-giuliani,Attorney,New York,republican,9.0,11.0,10.0,7.0,3.0,a comment to reporters in London.,emotion
3088.json,False,Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.,"labor,state-budget",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain email and -- briefly -- a union web site,"conspiracy, discredit"
4366.json,False,Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.,candidates-biography,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,web pages,"conspiracy,discredit"
11363.json,False,The unemployment rate may be as high as 42 percent.,"corrections-and-updates,economy,jobs",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a press conference,conspiracy
4915.json,False,"When the country was founded, Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, were open.","history,pop-culture,pundits,religion",jon-stewart,,,none,0.0,2.0,1.0,1.0,1.0,"a segment of ""The Daily Show""",conspiracy
12499.json,False,Crime is rising.,"crime,criminal-justice",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a speech after several primaries concluded,conspiracy
3098.json,False,"Says a Portland school gives Muslim students their own school provided prayer room, prayer rugs, and lets them out of class five times a day to pray to Allah.",religion,victoria-taft,radio talk show host,Oregon,none,0.0,2.0,0.0,0.0,1.0,a website posting,"conspiracy, emotion, discredit"
4832.json,False,An independent payment advisory board created by in the health care reform law is like a Medicare IRS with the power to cut Medicare in order to pay for new government programs.,"government-regulation,health-care,message-machine-2012,market-regulation",60-plus-association,,,none,2.0,0.0,0.0,0.0,1.0,a television commercial,"conspiracy, emotion"
13228.json,False,"Says a tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado.",candidates-biography,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,the second presidential debate,"Emotion, Trolling"
11032.json,False,Aphotograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.,"candidates-biography,history",dinesh-dsouza,Author and film director,California,none,1.0,0.0,0.0,0.0,1.0,a tweet,"conspiracy, discredit"
4373.json,False,A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents.,"education,state-budget,states",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a news release,conspiracy
6903.json,False,Says Paul Ryans budget plan ends Medicare.,"federal-budget,health-care,medicare,message-machine-2012",rob-zerban,,,democrat,0.0,1.0,0.0,0.0,1.0,a TV ad,"conspiracy, discredit"
8510.json,False,"What we said was, you can keep (your plan) if it hasnt changed since the law passed.",health-care,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech to Organizing for Action,Conspiracy
7942.json,False,"Says Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.","economy,jobs",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a TV interview,conspiracy
12473.json,False,Says she was the first in her family to go to a four-year college.,education,katie-mcginty,,Pennsylvania,democrat,1.0,0.0,0.0,1.0,1.0,On the 'About' page of McGinty's campaign website,impersonation
4692.json,False,"Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns.","health-care,medicare",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail,conspiracy
13524.json,False,"Wisconsin has only one county, Dane, thats hand counting the votes in the 2016 presidential recount.","county-government,elections",sean-duffy,Member of the U.S. House,Wisconsin,republican,5.0,1.0,6.0,1.0,2.0,an interview,conspiracy
1283.json,False,"Barack Obama wrote a thesis at Columbia University in which he criticized ""plutocratic thugs"" and said the Constitution gave Americans ""the shackles of hypocrisy.""","candidates-biography,legal-issues",blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,a posting on many blogs.,"conspiracy, impersonation"
